Model                     T     L         Md        Rout      silicates  gs
outputs_000/output_0948   9945  5.44e+41  2.09e-03  1.90e+17  1          1.4747e+00
outputs_000/output_0950  13633  7.60e+41  3.06e-03  4.10e+16  0          8.9926e-03
outputs_000/output_0951  11375  1.15e+40  2.15e-02  1.85e+17  0          3.2910e-02
outputs_000/output_0952  10869  1.57e+41  3.16e-05  1.95e+17  0          7.1253e-03
outputs_000/output_0953   7968  2.37e+41  1.89e-02  1.02e+17  0          5.3712e-01
outputs_000/output_0954   9200  5.08e+41  6.86e-03  1.89e+17  0.5        1.1742e-01
outputs_000/output_0955  13113  1.87e+41  3.37e-02  1.85e+16  1          3.2752e-02
outputs_000/output_0956   7227  7.73e+41  2.28e-05  7.28e+16  0.5        1.2168e-02
outputs_000/output_0957   9712  2.26e+41  1.81e-05  1.29e+17  0          6.1725e-02
outputs_000/output_0958  11425  5.94e+41  3.82e-04  1.15e+17  0.5        2.7903e-01
outputs_000/output_0959  12832  5.44e+41  2.36e-04  3.55e+16  0          9.0792e-03
outputs_000/output_0960   4483  4.79e+41  3.63e-05  1.11e+17  1          3.3528e-01
outputs_000/output_0961   6042  3.70e+41  1.29e-05  1.62e+17  1          9.5333e-03
outputs_000/output_0962  13180  5.87e+41  9.17e-05  1.93e+17  0          5.6605e-01
outputs_000/output_0964  10160  9.79e+40  4.19e-05  1.94e+17  1          4.8978e-01
outputs_000/output_0965   6124  3.04e+41  4.21e-03  3.23e+16  0.5        9.5478e-02
outputs_000/output_0966  13246  7.59e+41  1.87e-05  1.90e+17  1          1.2646e+00
outputs_000/output_0967   4028  3.62e+40  2.77e-04  1.11e+17  0          3.3776e+00
outputs_000/output_0968   5992  6.64e+41  4.67e-02  1.21e+17  1          3.5715e-02
outputs_000/output_0969  10209  7.86e+41  1.21e-04  6.44e+16  0.5        5.5091e-02
outputs_000/output_0970   4238  9.93e+41  1.34e-03  1.82e+17  0.5        5.9186e-03
outputs_000/output_0971  12741  2.55e+41  4.86e-03  1.95e+17  0          3.0631e-01
outputs_000/output_0972   8592  2.16e+40  8.19e-04  1.88e+17  1          3.8696e-02
outputs_000/output_0973  10127  5.31e+41  1.12e-03  4.50e+16  0.5        1.9606e-02
outputs_000/output_0974  12110  2.18e+41  7.34e-04  1.17e+17  0          1.0111e-01
outputs_000/output_0975   7426  8.95e+40  3.85e-04  1.03e+17  0          4.7268e+00
outputs_000/output_0976   8387  8.28e+41  3.77e-05  1.75e+17  1          4.9932e+00
outputs_000/output_0977   4504  4.65e+41  1.43e-05  6.38e+16  0.5        1.3260e-02
outputs_000/output_0978  12157  9.18e+41  4.79e-04  1.01e+17  0          4.5802e-02
outputs_000/output_0979   6108  6.70e+41  5.10e-03  1.66e+17  0          3.6344e-01
outputs_000/output_0980  13673  4.87e+41  1.26e-03  1.03e+17  0          6.3549e-01
outputs_000/output_0982   7715  7.55e+39  1.21e-05  1.54e+17  1          1.0518e-01
outputs_000/output_0983   8077  6.94e+40  2.50e-04  1.19e+17  0.5        5.9503e-02
outputs_000/output_0984  10241  3.50e+41  4.54e-02  1.40e+17  1          3.9493e+00
outputs_000/output_0985   8862  3.72e+41  1.30e-03  1.62e+17  1          1.3226e-01
outputs_000/output_0986   9505  8.55e+41  4.16e-02  5.34e+16  0.5        2.5175e-02
outputs_000/output_0987   9578  3.44e+41  8.40e-05  1.53e+17  0          5.2023e-03
outputs_000/output_0988   6073  4.08e+41  1.35e-04  1.76e+16  0.5        1.3400e-02
outputs_000/output_0989   8282  4.59e+41  6.96e-04  2.03e+16  0          4.2788e+00
outputs_000/output_0990   5515  8.56e+41  2.28e-02  1.66e+17  0          2.7943e-01
outputs_000/output_0991   9558  2.55e+41  3.39e-04  3.17e+16  0          2.8971e-02
outputs_000/output_0992  10099  5.60e+41  6.03e-04  1.75e+17  1          8.0692e-03
outputs_000/output_0993  11148  4.57e+41  3.31e-03  3.85e+16  0          2.0125e-01
outputs_000/output_0994  10677  5.92e+41  6.13e-05  1.00e+17  0.5        7.5638e-02
outputs_000/output_0995  12419  9.96e+41  5.09e-02  4.98e+16  1          3.7895e+00
outputs_000/output_0996   4648  2.30e+41  1.35e-04  1.62e+17  0          2.6923e-01
outputs_000/output_0997  11299  8.94e+41  5.61e-03  1.96e+17  0.5        1.2890e+00
outputs_000/output_0998   8416  3.20e+41  1.49e-04  1.04e+17  1          7.1278e-01
outputs_000/output_0999  10342  9.26e+41  2.07e-02  6.13e+16  0          6.3397e-02
